danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Position,Genres,Artist_Name,Date
0.638,0.523,1,-6.664,1,0.357,0.00454,0.0,0.0842,0.422,139.913,185947,4,4,conscious hip hop**hip hop**rap**west coast rap,Kendrick Lamar,5/1/17
0.658,0.535,9,-8.983,0,0.0573,0.0265,0.0,0.2,0.419,110.684,227360,4,14,conscious hip hop**hip hop**rap**west coast rap,Kendrick Lamar,5/1/17
0.748,0.705,4,-4.547,0,0.485,0.204,0.0,0.246,0.483,189.891,208733,4,16,conscious hip hop**hip hop**rap**west coast rap,Kendrick Lamar,5/1/17
0.8,0.585,10,-7.343,1,0.0924,0.264,0.0,0.153,0.779,126.058,213400,4,18,conscious hip hop**hip hop**rap**west coast rap,Kendrick Lamar,5/1/17
0.67,0.7,1,-7.893,1,0.196,0.576,5.34e-06,0.226,0.648,69.986,160293,4,32,conscious hip hop**hip hop**rap**west coast rap,Kendrick Lamar,5/1/17
0.568,0.619,1,-6.899,1,0.414,0.138,1.67e-06,0.11,0.293,170.115,254200,4,33,conscious hip hop**hip hop**rap**west coast rap,Kendrick Lamar,5/1/17
0.746,0.798,0,-8.382,1,0.349,0.137,0.0,0.139,0.553,109.968,214827,4,35,conscious hip hop**hip hop**rap**west coast rap,Kendrick Lamar,5/1/17
0.665,0.535,4,-7.056,0,0.0572,0.0786,1.68e-05,0.154,0.37,138.842,275253,4,37,conscious hip hop**hip hop**rap**west coast rap,Kendrick Lamar,5/1/17
0.697,0.506,8,-4.863,1,0.0325,0.0792,0.0,0.0893,0.516,100.002,211364,4,39,art pop**dance pop**pop,Lady Gaga,5/1/17
0.678,0.562,3,-9.197,0,0.508,0.193,0.0,0.104,0.566,94.241,307880,4,42,conscious hip hop**hip hop**rap**west coast rap,Kendrick Lamar,5/1/17
0.588,0.479,1,-7.039,1,0.281,0.604,7.2e-06,0.527,0.434,150.414,460573,4,50,conscious hip hop**hip hop**rap**west coast rap,Kendrick Lamar,5/1/17
0.357,0.238,8,-16.78,0,0.265,0.142,0.0859,0.55,0.494,156.907,118067,4,54,conscious hip hop**hip hop**rap**west coast rap,Kendrick Lamar,5/1/17
0.706,0.557,0,-5.8,1,0.0813,0.0347,0.0,0.276,0.205,132.98,248827,4,58,conscious hip hop**hip hop**rap**west coast rap,Kendrick Lamar,5/1/17
0.552,0.731,7,-6.873,1,0.615,0.0536,0.0,0.258,0.632,174.516,248613,4,63,conscious hip hop**hip hop**rap**west coast rap,Kendrick Lamar,5/1/17
0.565,0.771,1,-5.22,1,0.213,0.00464,0.0,0.0568,0.573,168.385,225526,4,76,indie pop rap**oakland hip hop**pop**pop rap**rap,G-Eazy,5/1/17
0.957,0.593,1,-6.982,1,0.301,0.06,0.0,0.0908,0.284,127.027,247613,4,78,atl hip hop**hip hop**melodic rap**rap**trap**viral rap,Lil Yachty,5/1/17
0.611,0.867,1,-5.298,1,0.0896,0.11,0.000105,0.346,0.336,140.032,331267,4,87,conscious hip hop**dmv rap**hip hop**pop rap**rap,Logic,5/1/17
0.613,0.564,8,-7.085,1,0.0251,0.134,1.65e-06,0.0585,0.538,78.388,180907,4,93,contemporary country**outlaw country,Chris Stapleton,5/1/17
0.545,0.366,2,-9.51,1,0.0378,0.969,0.267,0.641,0.1,86.997,208212,3,99,indie folk**stomp and holler,Lord Huron,5/1/17
0.866,0.813,11,-4.063,0,0.0554,0.38,0.0,0.0779,0.969,121.998,199440,4,44,canadian pop**dance pop**pop**viral pop,Shawn Mendes,5/8/17
0.504,0.655,0,-8.644,0,0.0542,0.604,0.00193,0.364,0.262,99.982,264066,4,64,art pop**pop,Lana Del Rey,5/8/17
0.775,0.613,3,-4.586,0,0.0542,0.109,2.33e-05,0.134,0.797,100.066,208787,4,68,dance pop**pop**viral pop,Charlie Puth,5/8/17
0.745,0.593,8,-6.35,1,0.0524,0.00522,5.06e-06,0.123,0.17,111.001,212027,3,87,pop**pop rap,blackbear,5/8/17
0.695,0.818,5,-5.379,0,0.0334,0.00647,4.87e-06,0.0219,0.916,119.965,182693,4,90,candy pop**pixie**pop emo**pop punk,Paramore,5/8/17
0.652,0.719,1,-7.251,1,0.033,0.0353,0.0,0.108,0.24,94.969,197640,4,93,contemporary country**country**country road**modern country rock,Dylan Scott,5/8/17
0.62,0.574,5,-7.788,0,0.0479,0.569,0.0,0.19,0.357,100.023,250173,4,61,conscious hip hop**dmv rap**hip hop**pop rap**rap,Logic,5/15/17
0.633,0.592,0,-7.245,0,0.112,0.197,0.0,0.099,0.679,90.066,193511,4,67,edm**pop**pop dance**tropical house,Kygo,5/15/17
0.605,0.822,0,-4.833,1,0.0438,0.00671,0.134,0.147,0.288,167.997,187147,4,70,modern rock**pop**rock,Imagine Dragons,5/15/17
0.8,0.795,6,-5.835,1,0.0626,0.131,9.02e-05,0.221,0.528,106.031,227813,4,76,dance pop**pop**post-teen pop,Katy Perry,5/15/17
0.741,0.58,0,-7.741,1,0.378,0.153,0.0,0.109,0.428,97.092,220964,4,87,dance pop**pop**pop rap**r&b**rap,Chris Brown,5/15/17
0.735,0.425,0,-6.648,1,0.0464,0.011,0.0,0.055,0.848,85.896,188174,4,90,dance pop**pop**post-teen pop,Niall Horan,5/15/17
0.791,0.582,11,-7.323,0,0.286,0.0114,0.0,0.35,0.443,162.991,181812,4,91,atl hip hop**plugg**rap**trap,Playboi Carti,5/15/17
0.427,0.262,7,-8.541,1,0.0276,0.746,0.0,0.068,0.228,104.085,224867,4,93,pop,Harry Styles,5/15/17
0.785,0.62,8,-6.667,1,0.254,0.0138,0.0,0.15,0.478,78.477,235535,4,100,atl hip hop**plugg**rap**trap,Playboi Carti,5/15/17
0.573,0.781,8,-6.406,1,0.0555,0.0767,2.64e-05,0.0813,0.343,139.934,231907,4,64,dance pop**pop**post-teen pop,Miley Cyrus,5/22/17
0.523,0.725,2,-5.448,1,0.0339,0.0558,6.96e-06,0.0937,0.528,155.855,214800,4,79,contemporary country**country**country road**oklahoma country,Blake Shelton,5/22/17
0.655,0.0645,4,-14.765,1,0.0429,0.854,1.11e-05,0.107,0.278,129.399,248053,4,89,contemporary country**outlaw country,Chris Stapleton,5/22/17
0.622,0.763,9,-6.4,1,0.0263,0.055,8.91e-06,0.313,0.621,102.0,220800,4,97,neo-traditional country**texas country,Midland,5/22/17
0.754,0.762,6,-4.486,0,0.0849,0.45,6.67e-05,0.224,0.673,92.002,272667,4,62,dance pop**edm**electro house**house**pop**pop rap**progressive house**uk dance,Calvin Harris,5/29/17
0.965,0.414,1,-6.408,1,0.0713,0.189,0.0,0.0767,0.728,121.032,214648,4,80,dance pop**pop**post-teen pop,Selena Gomez,5/29/17
0.672,0.655,10,-5.021,0,0.0311,0.0362,0.0,0.117,0.556,134.945,201240,4,92,modern rock**pop**rock,Imagine Dragons,5/29/17
0.766,0.756,5,-5.861,1,0.132,0.213,0.0,0.349,0.716,94.027,230000,4,93,latin**reggaeton**reggaeton colombiano,Maluma,5/29/17
0.739,0.619,10,-6.669,1,0.162,0.0572,0.0,0.105,0.58,112.961,222787,4,95,dance pop**edm**electro house**electropop**pop**pop dance**pop edm**tropical house,Cheat Codes,5/29/17
0.368,0.478,8,-4.978,1,0.0306,0.321,0.0,0.121,0.325,167.526,212758,4,98,contemporary country**country pop**viral pop,Lauren Duski,5/29/17
0.74,0.879,9,-2.251,0,0.105,0.193,8.25e-05,0.0928,0.948,103.71,226893,4,100,colombian pop**dance pop**latin**latin pop**pop,Shakira,5/29/17
0.874,0.497,6,-5.484,1,0.0562,0.22,0.0,0.0761,0.542,106.023,204502,4,42,dance pop**pop**post-teen pop,Liam Payne,6/5/17
0.433,0.337,2,-6.386,1,0.0383,0.691,0.0,0.0873,0.243,71.569,187824,4,43,contemporary country**country pop**viral pop,Lauren Duski,6/5/17
0.838,0.705,5,-5.201,0,0.0449,0.0184,1.82e-05,0.102,0.583,119.953,242520,4,46,dance pop**pop**post-teen pop,Katy Perry,6/5/17
0.334,0.617,6,-5.834,0,0.383,0.334,0.0,0.163,0.603,85.227,216391,4,47,dance pop**pop**post-teen pop,Camila Cabello,6/5/17
0.629,0.723,0,-5.988,1,0.0433,0.0207,0.0,0.188,0.514,101.016,194663,4,66,,Chris Blue,6/5/17
0.554,0.903,8,-3.152,1,0.0515,0.0103,0.0,0.107,0.419,112.998,206827,4,76,contemporary country**country**country road,Rascal Flatts,6/5/17
0.756,0.572,9,-7.019,1,0.0763,0.0478,0.0,0.0853,0.417,102.986,204400,4,77,dance pop**pop**post-teen pop,Hailee Steinfeld,6/5/17
0.465,0.446,2,-5.515,1,0.0278,0.208,0.0,0.138,0.193,132.022,210732,4,92,contemporary country**country pop**viral pop,Lauren Duski,6/5/17
0.498,0.408,6,-7.946,1,0.0331,0.644,0.0,0.0993,0.383,78.942,198973,4,94,contemporary country**country**country road**modern country rock,Lee Brice,6/5/17
0.735,0.588,5,-7.197,0,0.226,0.0356,0.0,0.107,0.435,90.002,194267,4,74,kentucky hip hop**pop**pop rap**r&b**rap**trap,Bryson Tiller,6/12/17
0.932,0.702,7,-3.459,0,0.0904,0.00304,1.86e-05,0.267,0.533,143.001,167853,4,85,kentucky hip hop**pop**pop rap**r&b**rap**trap,Bryson Tiller,6/12/17
0.817,0.587,2,-6.502,1,0.108,0.052,0.00165,0.185,0.352,140.062,209143,4,88,atl hip hop**dirty south rap**gangster rap**hip hop**pop rap**rap**southern hip hop**trap,Gucci Mane,6/12/17
0.651,0.782,8,-4.295,1,0.0718,0.295,0.0,0.107,0.945,171.987,176893,4,90,contemporary country**country**country road,Old Dominion,6/12/17
0.646,0.756,9,-9.017,0,0.488,0.393,3e-05,0.202,0.602,193.88,169267,4,91,kentucky hip hop**pop**pop rap**r&b**rap**trap,Bryson Tiller,6/12/17
